Codice ,Titolo ,Descrizione ,Genere,Taglia Descrizione ,Taglia Variante,Colore ,Composizione ,Condizioni ,Misure ,Prezzo ,Tipo Di Prodotto ,Fornitore ,Collezione ,Tag. ,Posizione
A9731,Marena Leggins Termico,"Marena leggins termico ,dettaglio apertura al cavallo , zip laterali",F,S - 42,42,Nero,51% Nylon 49% Lycra,Buone,23-36-82,€ 8.00,Pantaloni Sport Donna,SecondChancy,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Pantaloni Sport Donna,C16D
A9732,G-Star Raw Jeans Grigio,"G-Str Raw jeans grigio ,modello regular fit gamba larga, etichetta brand posteriore",M,W38 L32 - 52,52,Grigio,100% Cotone,Buone,48-31-107,€ 14.00,Jeans Uomo,G-Star Raw,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Jeans Uomo,C16D
A9733,Columbia Felpa Pile,"Columbia felpa in pile fucsia tinta unita con logo ricamato frontale, tasche e chiusura zip frontale",F,L,L,Rosa,100% Poliestere,"Buone,mnolla in vita assente",46-54-52-62,€ 14.00,Felpa Donna,SecondChancy,Nuovi Arrivi/Donna,Sport Donna/Abbigliamento Donna/Felpe Donna/Inventario,C16D
A9734,Frankie e Trace Giubbotto Beige,"Frankie e Trace giubbotto beige tinta unita , chiusura doppia zip e bottoni a clip, tasche , modelo foderato a rete interno adatto per le meze stagioni",M,XL,XL,Beige,65% Poliestere 35% Cotone,Buone,5664-60-78,€ 24.00,Giubbotto Uomo,SecondChancy,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Giubbotti Uomo,C16D
A9735,Fila Polo Grigia,"Fila polo grigia tinta unita con logo in tinta ricamato frontale ,bottoni al colletto",M,50 - XL,XL,Grigio,100% Cotone,Buone,49-65-60-66,€ 8.00,Polo Uomo,Fila,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Polo Uomo,C16D
A9736,Giacca Spolverino Nera,Giacca spolverino nera senza chisuura colletto coreano tessuto primaverile,F,46 - L,L,Nero,100% poliestere,Buone,44-57-63-71,€ 8.00,Giacca Donna,Vintage,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Giacche Donna,C16D
A9737,Murphy & Nye Maglione Con Zip Blu,Murphy & Nye Maglione con zip fantasia jeans colletto a costine tessuto invernale,M,M,M,Blu,Cotone,"Buone, Etichette Interne Assenti, Necessita Lavaggio",43-62-54-54,€ 10.00,Maglioni Uomo,Murphy&Nye,Nuovi Arrivi/Uomo,Inventario/Abbigliamento Uomo/Maglioni Uomo,C16D
A9738,Felpa Crop conStampa,Felpa crop nera con stampa Game opf thrones tessuto pesante,F,TU - S,S,Nero,80% cotone 20% poliestere,Buone,41-55-52-47,€ 8.00,Felpa Donna,SecondChancy,Nuovi Arrivi/Donna,Sport Donna/Abbigliamento Donna/Felpe Donna/Inventario,C16D
A9739,Pantalone Bianco Sportivo,Coppelia pantalone bianco sportivocon dettagli brillantinati,F,XS-38,38,Bianco,85% Nylon 15% Elastan,Buone,27-20-92,€ 11.00,Pantaloni Sport Donna,SecondChancy,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Pantaloni Sport Donna,C16D
A9740,Giubbotto a Quadri e cappuccio,Giubbotto a quadri blu con dettaglio logo ricamato al petto colletto a zip tessuto pesante,M,176 - 16 Anni,16 Anni,Multicolore,50% Poliammide 50% Poliestere,Buone,50-61-58-73,€ 16.00,,SecondChancy,Bambini,Inventario/Bimbo,C16D
A9741,Giubbotto Azzurro,Giubbotto azzurro con chiusura a zip dettaglio logo in gomma su spalla sx tessuto imbottito,F,42 - M,M,Blu,100% Nylon,Buone,57-60-59-66,€ 16.00,Giubbotto Donna,SecondChancy,Nuovi Arrivi/Donna,Giubbotti Donna/Abbigliamento Donna/Inventario,C16D
A9742,Maglione Nero Oversize,Maglione nero modello oversize a collo alto tessuto caldo,F,S,S,Nero,30% Lana 10% Seta 30% poliammide 30% Nylon,Buone,50-50-72-62,€ 10.00,Maglione Donna,SecondChancy,Nuovi Arrivi/Donna,Inventario / Abbigliamento Donna / Maglione Donna,C16D
A9743,Avirex Pantalone Beige,Avirex pantalone Beige modello chino chiusura a zip,M,44-60,60,,67% poliestere 3% cotone,Buone,56-30-105,€ 12.00,Pantaloni Donna,SecondChancy,Nuovi Arrivi/Donna,Pantaloncini Donna/Abbigliamento Donna/Inventario,C16D
A9744,eliminato,,,,,,,Buone,,,,,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Pantaloni Uomo,C16D
A9745,Levi's Jeans Scuro,Levi's jeans lavaggio scuro slim fit gamba dritta chiusura a zip,F,W 28 L 32 - 42,42,Blu,90% cotone % poliestere 1% Elastan,Buone,37-24-100,€ 12.00,Jeans Donna,Levi's,Nuovi Arrivi/Donna,Inventario / Abbigliamento Donna / Jeans Donna,C16D
A9746,Eliminato,,,,,,,Buone,,,,,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Pantaloni Uomo,C16D
A9747,Camicia Pied De Paul,camicia marronecon fantasia pied de paul taschino frontale tessuto primaverile,M,XS,XS,Marrone,Puro Cotone,Buone,43-61-46-66-,€ 8.00,Camicie Uomo,SecondChancy,Nuovi Arrivi / Uomo,Inventario / Abbigliamento Uomo / Camicie Uomo,C16D
